id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,Sep-28,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,Gaps are the only reasonable areas to execute your market orders. You can only get lucky for so long trying to pick tops and bottoms. Those are highly magnetic areas eventually you will get tagged.,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Does your country only have clowns for politicians?,twitter,neutral,0.5,Normal,1,0,0,6
#######,#######,#######,i love savanna dry,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Tired and sleep deprived!,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,Lovely selection you got there,instagram,positive,0.6,Normal,3,3,0,1
#######,#######,#######,"Good meal, my favorited one.",twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,good enough,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,thanks always for inspiring me to play the guitar!,instagram,positive,0.6,Normal,3,3,0,2
#######,#######,#######,hoje decidi usar uma nova abordagem 🤫,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,beautiful work,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,peter is something else honestly 🤣,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Vanta black,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,5
#######,#######,#######,"And today, the race responsible for these laws is crying about being marginalized and suffering under ""race-based"" laws!! South Africa is indeed alive with possibilities!! 🤣🤣🤣🤣🤣🤣",twitter,negative,0.5,Trolling,3,0,3,2
#######,#######,#######,seria meu sonho todo dia ser abaixo de 30 graus,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,lol AGREED!,instagram,negative,0.5,Trolling,3,0,3,3
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,"Keep blooming, superstar",twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,"Same one who refused bail for Ntanzi who had no priors, employed, no passports for flee, but granted bail to Kat's friend who has priors and plenty money and connections to help him flee!! Same one who recommended Ratha for this case",twitter,negative,0.65,Profanity,5,0,5,2
#######,#######,#######,You are cool.,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,"We won finally. Thank you, Nuno #LFC  #WHULIV",twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,congratulations!!!!,instagram,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,This is helpful. Thanks a bunch,twitter,positive,0.7,Normal,4,4,0,2
#######,#######,#######,This looks delicious,instagram,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,perfect nusic,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,God of Househusband,instagram,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,"From the river to the sea, Palestine will be free! 🇵🇸",twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,"dope song,i love it",instagram,positive,0.6,Normal,3,3,0,5
#######,#######,#######,AMAZING,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,"pergunta genuína: uso genéricos pra endometriose há anos. estava tomando um, mas por uns meses mudei pra outro e logo comecei a ter 3 dores diferentes; voltei pro lab anterior e as dores diminuíram mto de frequência. pode haver alguma msm que mínima diferença de um gen pra outro?",twitter,neutral,0.5,Normal,1,0,0,6
#######,#######,#######,انا خلاص بقي عندي اقتناع تام اننا عالم مادي بحت وان مشاكلنا كلها مادية ولو انت عندك المادة هتبقي مبسوط. ولو انت مش مبسوط فببساطة عشان معندكش المادة بالقدر الكافي مش اكتر سواء حب فلوس الخ.حاولت اوهم نفسي كتير انه لا اكيد الناس مش كدا اكيد الدنيا مش كدا بس كله عايز ومحدش لاقي.,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Beautiful,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,😊😊Looking good,instagram,positive,0.6,Normal,3,3,0,1
#######,#######,#######,insightful,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,did he uncheat or the cheating is still there,instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,im sorry,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,beautiful,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,sgebengu lo beautiful,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,my beautiful mother,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,Happy birthday to her from a fellow Chels 💙,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,this is why knowledge is power 🫰,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,keep up the amazing dance moves,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,"amahloni kimi, uRatha wenzani??? Why is he pressed to say he was not the presiding judge??  He is even making jokes (not this handsome judge) and stuttering 🤣🤣😂😂😂kushubile ngempela #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,Good series,twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,Love this quote and the Shadow of games were peak,instagram,positive,0.6,Normal,3,3,0,1
#######,#######,#######,"""kuyenzeka umntu omdala abenamanga"" #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,Unuseful idiot😂😂,instagram,negative,0.8,Derogatory,8,0,8,3
#######,#######,#######,Thank you Lord,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,ouch,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,God is good.,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,Tamara is a lovely name for girls,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,i started watching bridgerton and finally understood why it always gets trending topics in a new season; the series is very good,twitter,positive,0.6,Normal,3,3,0,2
